"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-08-21T18:30:00.000Z","90.00","92.50","89.90","91.95","2.51","6.59","49,308,878"
"2023-08-22T18:30:00.000Z","92.70","93.60","92.15","92.25","0.33","4.41","42,359,762"
"2023-08-23T18:30:00.000Z","93.00","93.55","90.95","91.45","-0.87","3.21","33,846,829"
"2023-08-24T18:30:00.000Z","91.30","92.10","90.20","91.10","-0.38","3.70","29,665,822"
"2023-08-27T18:30:00.000Z","91.85","91.85","90.50","91.05","-0.05","4.03","29,530,537"
"2023-08-28T18:30:00.000Z","91.20","91.95","90.10","90.30","-0.82","3.26","31,488,791"
"2023-08-29T18:30:00.000Z","91.25","92.45","90.80","92.25","2.16","6.24","34,413,041"
"2023-08-30T18:30:00.000Z","93.00","95.80","90.20","93.35","1.19","5.27","449,067,817"
"2023-08-31T18:30:00.000Z","91.80","94.00","89.10","93.40","0.05","4.13","88,835,098"
"2023-09-03T18:30:00.000Z","95.00","99.00","94.60","98.45","5.41","9.49","78,872,194"
"2023-09-04T18:30:00.000Z","98.90","100.70","97.70","99.20","0.76","4.84","54,709,325"
"2023-09-05T18:30:00.000Z","99.75","99.75","96.25","97.65","-1.56","2.52","46,033,233"
"2023-09-06T18:30:00.000Z","97.90","98.25","95.50","95.80","-1.89","2.19","38,143,881"
"2023-09-07T18:30:00.000Z","96.80","97.05","94.65","95.35","-0.47","3.61","34,295,404"
"2023-09-10T18:30:00.000Z","97.30","97.40","96.20","96.55","1.26","5.34","32,132,630"
"2023-09-11T18:30:00.000Z","98.00","98.00","93.00","93.45","-3.21","0.87","43,656,392"
"2023-09-12T18:30:00.000Z","93.35","93.70","89.30","93.10","-0.37","3.71","82,602,747"
"2023-09-13T18:30:00.000Z","93.80","94.75","92.60","93.65","0.59","4.67","23,581,447"
"2023-09-14T18:30:00.000Z","94.00","94.75","93.05","94.55","0.96","5.04","20,016,713"
"2023-09-17T18:30:00.000Z","94.50","94.55","92.85","93.15","-1.48","2.60","24,402,174"
"2023-09-18T18:30:00.000Z","","","","","-100.00","-95.92",""
"2023-09-19T18:30:00.000Z","93.00","95.35","92.40","93.60","0.48","4.56","49,353,167"
"2023-09-20T18:30:00.000Z","93.75","94.85","93.15","93.40","-0.21","3.87","25,504,384"
"2023-09-21T18:30:00.000Z","93.40","94.50","93.10","93.60","0.21","4.30","16,438,998"
"2023-09-24T18:30:00.000Z","93.95","94.45","92.40","94.30","0.75","4.83","33,610,387"
"2023-09-25T18:30:00.000Z","94.20","95.80","93.85","95.55","1.33","5.41","28,194,744"
"2023-09-26T18:30:00.000Z","95.65","97.75","95.10","97.55","2.09","6.17","33,615,116"
"2023-09-27T18:30:00.000Z","97.65","98.40","93.65","94.55","-3.08","1.01","52,996,232"
"2023-09-28T18:30:00.000Z","95.15","95.90","94.20","95.50","1.00","5.09","21,360,102"
"2023-10-01T18:30:00.000Z","","","","","-100.00","-95.92",""
"2023-10-02T18:30:00.000Z","95.65","95.65","93.55","94.15","-1.41","2.67","20,336,030"
"2023-10-03T18:30:00.000Z","93.50","93.50","91.30","91.75","-2.55","1.53","47,373,997"
"2023-10-04T18:30:00.000Z","92.60","93.00","91.70","91.95","0.22","4.30","17,104,086"
"2023-10-05T18:30:00.000Z","92.25","92.45","90.70","91.40","-0.60","3.48","26,681,015"
"2023-10-08T18:30:00.000Z","90.05","90.40","88.90","90.05","-1.48","2.60","23,075,073"
"2023-10-09T18:30:00.000Z","90.30","91.05","89.10","90.25","0.22","4.30","53,961,169"
"2023-10-10T18:30:00.000Z","92.60","93.35","91.15","91.55","1.44","5.52","36,252,819"
"2023-10-11T18:30:00.000Z","91.50","91.95","90.65","90.80","-0.82","3.26","13,653,254"
"2023-10-12T18:30:00.000Z","90.70","90.75","90.00","90.25","-0.61","3.48","15,143,662"
"2023-10-15T18:30:00.000Z","90.45","91.30","90.15","90.95","0.78","4.86","18,504,956"
"2023-10-16T18:30:00.000Z","91.25","92.00","91.20","91.60","0.71","4.80","15,944,661"
"2023-10-17T18:30:00.000Z","92.35","93.10","90.80","90.95","-0.71","3.37","30,676,702"
"2023-10-18T18:30:00.000Z","90.65","91.40","90.00","90.80","-0.16","3.92","20,209,313"
"2023-10-19T18:30:00.000Z","90.75","91.25","88.40","88.90","-2.09","1.99","25,595,667"
"2023-10-22T18:30:00.000Z","88.95","89.85","86.00","86.45","-2.76","1.33","41,890,167"
"2023-10-23T18:30:00.000Z","","","","","-100.00","-95.92",""
"2023-10-24T18:30:00.000Z","86.45","87.70","85.75","87.15","0.81","4.89","37,747,485"
